"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 2 1 1 23.6 17 48 35 77 179
"2" 3 1 1 39.6 33 28 20 88 221
"3" 2 1 2 17 10 43 22 38 142
"4" 2 1 2 18.9 12 82 13 4 57
"5" 1 1 1 7.6 -7 37 35 12 63
"6" 2 1 2 30.2 25 65 22 20 120
"7" 1 1 1 19.8 13 44 15 39 111
"8" 3 1 1 34.9 31 58 17 44 97
"9" 4 1 1 13.3 4 36 9 18 122
"10" 3 1 1 34.9 28 29 0 48 108
"11" 1 0 1 12.3 1 41 19 43 184
"12" 1 1 1 15.1 6 87 9 30 123
"13" 4 1 2 30.2 24 83 7 24 127
"14" 2 1 1 29.2 23 78 13 38 186
"15" 1 1 2 11.4 1 60 11 20 104
"16" 2 1 1 19.8 13 38 22 47 186
"17" 2 0 1 22.7 16 25 19 195 209
"18" 4 1 2 15.1 7 53 6 31 170
"19" 3 1 1 36.8 35 59 15 61 88
"20" 2 0 1 32.1 27 58 6 221 354
"21" 2 1 1 23.6 17 48 0 46 183
"22" 1 1 1 17 10 46 13 40 154
"23" 2 0 2 20.8 14 88 15 68 164
"24" 2 0 1 34.9 29 45 6 184 315
"25" 4 1 1 17 10 43 15 33 185
"26" 2 0 1 30.2 25 36 9 120 249
"27" 3 1 1 36.8 30 31 13 41 170
"28" 1 1 2 21.7 15 82 28 3 53
"29" 2 0 1 30.2 25 39 11 213 353
"30" 4 1 2 17 10 66 17 33 164
"31" 4 1 1 18 11 47 20 66 185
"32" 4 0 1 11.4 4 35 0 31 166
"33" 3 1 2 34.9 29 45 9 68 220
"34" 4 1 1 31.1 26 79 15 43 116
"35" 1 1 2 12.3 2 45 11 5 63
"36" 2 1 1 26.4 20 60 15 43 136
"37" 1 0 2 19.8 13 82 11 129 239
"38" 4 0 2 22.7 16 51 26 110 352
"39" 2 1 2 34.9 29 48 15 59 143
"40" 2 1 2 25.5 19 83 28 26 104
"41" 1 0 1 10.4 -1 44 17 23 70
"42" 3 1 1 37.7 34 46 0 49 118
"43" 4 1 2 25.5 19 78 11 68 222
"44" 4 0 1 16.1 9 40 0 50 183
"45" 4 1 2 15.1 4 42 20 9 135
"46" 2 1 1 33.9 28 51 6 36 104
"47" 4 1 1 27.4 21 83 13 41 211
"48" 1 0 1 13.3 6 45 0 26 100
"49" 3 1 1 38.6 38 56 19 41 113
"50" 3 1 1 37.7 33 48 24 90 89
"51" 3 1 1 28.3 25 43 0 37 206
"52" 4 0 1 17 10 46 15 134 311
"53" 3 1 3 32.1 28 79 0 39 112
"54" 2 1 1 33.9 30 66 15 36 124
"55" 4 0 1 14.2 6 57 6 48 227
"56" 2 1 1 38.6 34 41 13 28 106
"57" 3 0 1 32.1 27 58 19 189 437
"58" 1 1 2 14.2 3 57 26 8 71
"59" 1 1 1 13.3 5 65 6 11 36
"60" 4 1 2 18 11 62 11 13 116
"61" 3 0 1 37.7 39 63 0 113 156
"62" 3 1 1 37.7 37 59 0 29 98
"63" 4 0 2 17 10 66 17 74 218
"64" 4 0 1 27.4 25 43 15 222 369
"65" 1 1 1 7.6 -7 43 30 9 55
"66" 4 1 1 19.8 13 67 13 12 108
"67" 3 0 1 23.6 17 68 15 116 201
"68" 3 0 1 34.9 30 55 15 183 326
"69" 3 1 1 36.8 30 26 0 68 146
"70" 2 1 2 19.8 13 44 7 52 111
"71" 2 1 3 30.2 24 83 24 8 57
"72" 1 1 1 13.3 2 42 26 4 110
"73" 1 1 1 19.8 13 54 19 20 66
"74" 2 1 1 24.5 18 68 11 64 190
"75" 1 0 1 5.7 -7 43 15 22 77
"76" 1 0 2 8.6 -4 69 26 2 60
"77" 2 1 2 24.5 18 94 6 6 17
"78" 4 0 1 28.3 24 69 6 139 183
"79" 4 1 3 20.8 14 94 6 7 53
"80" 2 1 1 18 11 37 20 112 179
"81" 4 1 1 18 11 50 9 31 97
"82" 1 0 2 18.9 12 100 15 18 44
"83" 4 0 1 17 10 43 13 80 343
