"V4" "V5" "V6" "V7" "V8" "V9"
"1" 13.3 3 45 19 17 58
"2" 30.2 25 65 7 90 151
"3" 18 11 87 6 33 181
"4" 24.5 18 37 24 61 252
"5" 33 29 62 17 108 252
"6" 34.9 29 40 6 85 191
"7" 19.8 13 51 22 22 64
"8" 30.2 24 83 11 52 119
"9" 18.9 12 41 6 89 143
"10" 34.9 0 52 19 98 205
"11" 5.7 -8 39 24 1 44
"12" 23.6 17 83 11 56 90
"13" 11.4 -2 35 33 33 142
"14" 19.8 13 67 30 34 128
"15" 28.3 25 41 11 65 155
"16" 32.1 27 54 9 55 212
"17" 18.9 12 41 28 42 179
"18" 15.1 4 25 26 18 63
"19" 14.2 6 76 7 74 318
"20" 22.7 16 51 6 78 156
"21" 27.4 25 53 0 52 201
"22" 34.9 29 40 9 215 291
"23" 36.8 32 43 22 54 127
"24" 28.3 25 57 17 150 278
"25" 6.7 -6 47 15 21 144
"26" 12.3 2 52 15 71 107
"27" 34.9 28 33 0 79 202
"28" 18 11 62 11 13 116
"29" 30.2 25 47 15 67 170
"30" 20.8 14 72 11 131 202
"31" 37.7 37 59 0 29 98
"32" 9.5 -1 51 11 3 61
"33" 36.8 37 66 15 69 143
"34" 20.8 14 59 9 180 324
"35" 34.9 31 62 9 81 215
"36" 23.6 17 94 0 53 166
"37" 13.3 4 31 11 34 141
"38" 25.5 19 64 13 18 116
"39" 20.8 14 67 11 21 131
"40" 37.7 39 63 0 113 156
"41" 35.8 32 55 7 131 236
"42" 37.7 36 56 28 155 282
"43" 28.3 20 94 0 6 66
"44" 18 11 37 20 112 179
"45" 24.5 18 94 6 6 17
"46" 9.5 -3 93 22 6 35
"47" 30.2 25 50 13 51 181
"48" 23.6 17 68 15 116 201
"49" 33.9 30 66 24 150 332
"50" 13.3 5 65 6 11 36
"51" 12.3 1 45 22 21 188
"52" 33 30 74 13 51 161
"53" 33 28 58 6 71 196
"54" 22.7 16 45 15 39 135
"55" 15.1 6 87 9 30 123
"56" 27.4 21 83 17 80 225
"57" 15.1 6 81 11 48 206
"58" 20.8 14 36 9 75 158
"59" 26.4 20 49 6 142 198
"60" 37.7 34 46 0 49 118
"61" 33.9 28 42 9 39 72
"62" 34.9 31 62 20 50 147
"63" 11.4 -1 41 28 33 103
"64" 30.2 25 57 17 60 168
